사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,2호선,45,문래,17,1,"3,262","1,723","11,594","9,429","40,788","31,287","44,732","117,958","25,382","56,703","17,805","21,882","17,431","18,296","19,986","19,723","21,195","21,083","21,714","19,992","23,406","20,163","28,482","23,534","49,695","31,010","99,958","51,480","36,144","38,009","23,298","19,818","23,567","18,082","17,063","15,168","6,687","8,550",12,543,0,0,0,0,0,0
2020-11,2호선,46,영등포구청,34,0,"5,682","3,078","11,822","13,459","38,651","33,028","45,784","120,713","28,196","55,822","20,783","25,355","21,870","21,884","23,901","22,939","25,699","25,761","26,057","23,197","29,122","24,315","34,963","26,362","51,986","32,775","103,731","51,808","36,124","35,912","25,680","20,307","24,445","19,073","16,212","16,313","5,787","10,531",7,739,0,0,1,0,0,0
2020-11,2호선,47,당산,64,10,"6,448","3,180","15,189","11,865","43,187","27,034","53,598","80,072","32,180","39,178","20,707","19,618","19,997","17,334","21,171","19,592","21,946","21,000","20,716","20,898","21,408","23,328","25,025","27,735","39,503","40,619","62,091","69,099","27,272","48,509","19,945","29,667","19,725","29,272","15,189","23,383","6,130","15,028",9,931,0,0,0,0,0,0
2020-11,2호선,48,합정,95,2,"7,821","3,076","16,496","14,231","41,226","31,654","53,742","89,673","35,104","71,663","24,715","40,650","25,244","36,696","28,848","40,138","33,864","47,238","35,169","42,848","37,598","42,753","45,970","49,542","64,094","65,899","104,086","97,673","66,069","70,987","49,969","36,189","57,094","30,010","49,945","23,816","20,864","17,596",26,904,0,0,0,0,0,0
2020-11,2호선,49,홍대입구,618,9,"17,254","3,162","22,653","14,566","56,956","29,922","72,836","90,173","47,411","101,850","33,911","66,983","39,825","69,309","48,766","85,433","57,657","100,170","58,753","98,868","70,831","100,685","89,829","106,207","118,185","131,039","145,323","177,624","108,975","126,297","104,731","62,786","126,317","48,629","118,447","38,103","47,948","28,054",276,"4,904",3,2,1,0,0,0
2020-11,2호선,50,신촌,53,0,"6,206","2,906","11,836","16,413","30,389","31,508","43,642","70,529","31,220","82,102","28,876","52,079","33,886","45,343","43,117","49,176","44,856","58,649","46,460","51,334","52,867","47,532","65,049","49,472","81,499","66,304","82,475","97,842","56,393","65,293","58,285","32,633","60,796","28,058","56,110","22,614","21,441","16,167",9,303,0,0,1,1,0,0
2020-11,2호선,51,이대,38,1,"2,531","1,700","6,120","11,516","18,083","11,089","24,282","32,437","14,635","31,460","11,302","21,886","13,066","18,042","18,113","20,265","20,172","23,152","17,927","19,205","21,079","18,202","28,033","18,522","37,560","21,894","32,568","31,366","19,524","22,113","16,204","12,949","16,482","12,942","13,104","11,204","4,044","8,427",2,153,0,1,0,0,0,0
2020-11,2호선,52,아현,23,2,"4,852","1,309","9,570","7,479","25,684","10,689","35,647","20,453","20,110","12,000","14,016","9,178","13,209","8,747","14,778","10,338","13,529","11,583","13,829","11,940","15,847","13,555","18,934","15,466","19,081","20,887","18,569","30,726","11,113","23,172","7,574","14,129","6,088","14,128","3,907","11,900","1,449","7,276",1,53,1,2,1,0,1,0
2020-11,2호선,53,충정로(경기대입구),25,1,"2,998",888,"5,731","5,472","14,438","19,190","20,756","58,493","13,342","29,779","9,951","12,758","10,695","9,882","11,599","9,637","12,567","11,586","12,356","10,440","12,857","10,939","15,562","11,413","24,836","14,961","47,689","20,515","16,269","14,491","9,648","9,332","9,381","9,311","6,057","7,754","1,950","4,884",6,189,1,1,0,0,0,0
2020-11,2호선,54,용답,15,0,"2,383",223,"2,893",797,"7,098","1,690","11,711","3,409","5,462","2,365","3,863","2,083","3,416","2,219","3,733","2,702","4,098","3,222","3,614","3,347","3,627","3,778","4,081","5,222","4,277","6,025","3,614","9,542","2,059","6,370","1,416","3,871","1,230","5,002",946,"4,078",302,"2,552",0,0,0,0,0,0,0,0
